"Title","Date","Affiliations","Description","Response","Victims","Sponsor","Type","Category","Response_type","link","state_victim","state_cat","date_orig","Year"
"Targeting of secure messaging app used by Hong Kong protesters",2019-06-13,"Hong Kong police","Hong Kong authorities used a network of Chinese computers to track protesters' organizing activity on Telegram, a secure messaging app.",NA,"Hong Kong","Hong Kong","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2019-06-13",2019
"Targeting of Ukrainian government entities",2019-11-25,"Gamaredon","Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",NA,"Ukrainian government entities","Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2019-11-25",2019
"2019 Indonesian elections",2019-03-12,"Believed to be the work of Russian and Chinese hackers.","Senior Indonesian election officials accused Chinese and Russian hackers of manipulating and modifying Indonesia's voter data base to disrupt the presidential elections.",NA,"Indonesia","China, Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2019-03-12",2019
"Compromise of Airbus suppliers",2019-09-26,"Believed to be the work of APT 10 or the Jiangsu Province Ministry of State Security.","A threat actor targeted virtual private networks (VPNs) used by suppliers of European aerospace company Airbus with a series of attacks. The attacks resulted in unauthorized access to data, including the theft of documents related to Airbus's military transport plane A400M, designed with one of the most powerful propeller engines in the world.",NA,"Airbus","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2019-09-26",2019
"Targeting of Egyptian dissidents",2019-10-03,"Government of Egypt","The Egyptian government installed mobile apps on targets’ phones to extract files, track their locations, and identify contacts.",NA,"Egyptian journalists, academics, lawyers, opposition politicians, and human rights activists","Egypt","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2019-10-03",2019
"Targeting of the Australian Parliament, including the Liberal, National, and Labor Parties",2019-08-15,"China’s Ministry of State Security","A threat actor targeted the computer network of the Parliament of Australia. The hackers breached the Parliament's network and the networks of the three largest political parties.",NA,NA,"China","Espionage",NA,"   ","   ",FALSE,"Super Power","2019-08-15",2019
"Targeting of South Korean macOS users",2019-11-20,"Lazarus Group","The North Korean threat actor Lazarus Group targeted South Korean macOS users with a new malware variant.",NA,"South Korean macOS users","Korea (Democratic People's Republic of)","Espionage",NA,"   ","   ",FALSE,"Middle Power","2019-11-20",2019
"Targeting of Russian speakers",2019-10-10,"Unknown","ESET researchers discovered a new malware called Attor that has been used to target only a few dozen victims since 2013. The victims include diplomatic and government institutions and the malware is designed to steal encryption information from certain applications.",NA,"Russian speakers, as well as diplomatic and government institutions in Eastern Europe",NA,"Espionage","Government","   ","   ",TRUE,"NA","2019-10-10",2019
"Compromise of websites related to Uighur communities",2019-09-03,"Believed to be the work of at least two unnamed APT groups, including Evil Eye","Multiple threat actors compromised and exploited eleven websites that published news and cultural information related to the Uighur populations in China, particularly the East Turkestan region. The threat actors imitated the domains of Google, the Turkistan Times, and the Uyghur Academy, and used Google applications to gain access to Gmail accounts. Among other sensitive details collected were the hacked devices’ unique identification numbers, phone numbers, locations, central processing unit (CPU) data, and usernames.",NA,"China","China","Espionage","Civil society","   ","   ",TRUE,"Super Power","2019-09-03",2019
"Targeting of BMW and Hyundai",2019-12-06,"Ocean Lotus","Ocean Lotus (aka APT 32), a threat actor aligned with the Vietnamese government, attacked BMW and Hyundai in an attempt to steal automotive trade secrets.",NA,"BMW and Hyundai","Vietnam","Espionage","Private sector","   ","   ",FALSE,"Middle Power","2019-12-06",2019
"Chinese intelligence repurposed NSA tools to attack private companies",2019-05-06,"APT 3","The threat actor repurposed hacking tools used against them by the U.S. National Security Agency (NSA) to attack private companies in Asia and Europe. These attacks went undetected for two years.",NA,"Belgium, Luxembourg, The Philippines, and Vietnam","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2019-05-06",2019
"Targeting of European and North American aerospace companies",2019-10-14,"Believed to be the work of Turbine Panda","A threat actor conducted a multiyear espionage effort aimed at the theft of intellectual property from European and North American aerospace companies to further the development of China's C919 aircraft.",NA,NA,"China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2019-10-14",2019
"Targeting of Uzbek dissidents",2019-10-31,"Government of Uzbkeistan","Unit 02616 of Uzbekistan’s National Security Service used FinFisher, a German spyware, to attack dissidents.",NA,"Uzbek activists and dissidents","Uzbekistan","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2019-10-31",2019
"Kingdom",2019-10-12,NA,"This threat actor, believed to be linked to Saudi Arabia, targeted a Saudi dissident in Canada with NSO Group's Pegasus malware. ",NA,"Saudi Arabian dissident","Saudi Arabia",NA,NA,"   ","   ",FALSE,"Middle Power","2019-10-12",2019
"Targeting of enterprise VPN servers from Fortinet and Pulse Secure",2019-09-05,"Believed to be the work of APT 5, also known as Manganese, and several other threat groups.","Multiple threat actors targeted secure sockets layer (SSL) virtual private network (VPN) servers provided by cybersecurity companies Fortinet and Pulse Secure. It is uncertain whether the attacks were successful.",NA,NA,"China",NA,"Private sector","   ","   ",FALSE,"Super Power","2019-09-05",2019
"Targeting of telecom companies across Africa, Europe, and Southeast Asia",2019-12-12,"Gallium","Gallium, an allegedly China-aligned threat actor, attacked telecom companies across the globe for several months.",NA,"Telecom companies in Africa, Europe, and Southeast Asia","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2019-12-12",2019
"Compromise of Amnesty International Hong Kong",2019-04-15,"APTs associated with Beijing","This threat actor compromised Amnesty International Hong Kong's system to steal the personal information of supporters.",NA,"Amnesty International Hong Kong","China","Espionage","Civil society","   ","   ",TRUE,"Super Power","2019-04-15",2019
"U.S. retaliation against Iran",2019-10-16,"Government of the United States","The United States carried out a cyberattack against Iran designed to limit Tehran’s ability to spread propaganda in retaliation for the September 14attacks on Saudi oil facilities.",NA,"Iran","United States","Data destruction","Government","   ","   ",TRUE,"Super Power","2019-10-16",2019
"DarkUniverse",2019-11-05,NA,"DarkUniverse was a threat group affiliated with Russia that was active for at least eight years, from 2009 until 2017.",NA,NA,"Russian Federation",NA,"Military","   ","   ",TRUE,"Super Power","2019-11-05",2019
"Targeting of Moroccan activists",2019-10-10,"Government of Morocco","Amnesty International released a report showing how Morocco’s government used the NSO Group’s Pegasus malware to target two human rights activists in Morocco.",NA,"Maati Monjib, an academic and activist, and Abdessadak El Bouchattaoui, a human rights lawyer","Morocco","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2019-10-10",2019
"Global hijacking of domain name system (DNS)",2019-01-09,"Suspected to be the work of Iranian actors.","An unknown actor with a connection to Iran hijacked DNS records to target the traffic of governments and telecommunications organizations around the world.",NA,"United States, South Korea, Canada, Lebanon , United Arab Emirates","Iran (Islamic Republic of)","Espionage","Private sector","   ","   ",FALSE,"Middle Power","2019-01-09",2019
"Gallium",2019-12-12,NA,"Gallium is a possibly China-linked threat actor that has carried out attacks against telecom companies across the globe.",NA,NA,"China",NA,NA,"   ","   ",FALSE,"Super Power","2019-12-12",2019
"Compromise of British infrastructure",2019-04-02,"Iranian Revolutionary Guard","A threat actor compromised the British Post Office and local government networks, stealing personal data—including email addresses and mobile phone numbers—of thousands of employees.","Confirmation   https://www.mirror.co.uk/news/uk-news/major-cyber-attack-uk-infrastructure-14226055","British Post Office and local government networks","Iran (Islamic Republic of)","Espionage","Government","Confirmation ","https://www.mirror.co.uk/news/uk-news/major-cyber-attack-uk-infrastructure-14226055  ",TRUE,"Middle Power","2019-04-02",2019
"Targeting of embassies and foreign ministries in Eastern Europe and Central Asia",2019-08-20,"Believed to be the work of Sednit, also known as APT 28, Fancy Bear, and Strontium.","A threat actor targeted embassies and foreign ministries in Eastern Europe and Central Asia with a phishing campaign that deployed a form of Zebrocy malware on computers, creating backdoors. ",NA,NA,"Russian Federation",NA,"Government","   ","   ",TRUE,"Super Power","2019-08-20",2019
"Targeting of European ministries",2019-10-17,"the Dukes","Believed to have gone dark, Russian threat actor the Dukes targeted the ministries of foreign affairs of three European countries and a European Union (EU) country embassy in the United States with malware.",NA,"Ministries of foreign affairs of three European countries and an EU country embassy in the United States","Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2019-10-17",2019
"Compromise of Indian nuclear power plant",2019-11-12,"Lazarus Group","Devices on a noncritical administrative network in a nuclear power plant in Tamil Nadu, India, were compromised by DTrack, a remote access Trojan (RAT) associated with the Lazarus Group.",NA,"Noncritical devices in an Indian nuclear power plant","Korea (Democratic People's Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2019-11-12",2019
"Attempted attack on the Democratic National Convention (DNC) during 2018 elections",2019-01-18,"Suspected to be the work of the Dukes. ","The DNC alleged it was targeted in an unsuccessful cyberattack eight days after the 2018 elections in an attempted spear-phishing campaign.",NA,"Democratic National Committee","Russian Federation","Espionage","Civil society","   ","   ",TRUE,"Super Power","2019-01-18",2019
"Targeting of over sixty universities in multiple countries, including the United States and United Kingdom",2019-09-11,"Believed to be the work of Cobalt Dickens.","A threat actor launched a phishing operation with spoofed login pages to steal the credentials of users at over sixty universities in the United States, United Kingdom, and elsewhere.",NA,"United States, United Kingdom, Australia, Canada, Hong Kong, Switzerland","Iran (Islamic Republic of)","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2019-09-11",2019
"Attack on forum of Hong Kong protesters",2019-12-04,"Chinese government","China’s government used its “Great Cannon” distributed denial of service (DDOS) system for the first time in two years to attack a forum where Hong Kong residents organized protests.",NA,"Hong Kong protesters","China","Denial of service","Civil society","   ","   ",TRUE,"Super Power","2019-12-04",2019
"Compromise of Bayer Pharmaceuticals",2019-04-04,"Wicked Panda","A threat actor put malicious software on Bayer's computer system but did not steal any information, as reported by the company.",NA,"Bayer Pharmaceuticals","China","Data destruction","Private sector","   ","   ",FALSE,"Super Power","2019-04-04",2019
"Targeting of senior members of Tibetan groups",2019-09-24,"Believed to be the work of Poison Carp.","A threat actor aimed to infect mobile phones belonging to senior members of Tibetan groups, including people who worked directly for the Dalai Lama and lawmakers in Tibet's parliament. The threat actor posed as a human rights worker or journalist and contacted victims through WhatsApp. The campaign involved Android browser vulnerabilities and Android and iOS spyware. The tools appeared in similar attacks, discovered in September, carried out against China's Uighur population.",NA,"Tibet","China","Espionage","Government","   ","   ",TRUE,"Super Power","2019-09-24",2019
"Hijacking of Iranian hacking infrastructure",2019-10-21,"Turla","The Russian threat actor Turla took over an Iranian espionage operation belonging to Iranian-linked APT 34 (aka Oilrig) and used it to attack a number of targets while masquerading as Iran.",NA,"Military, government, scientific organizations, and universities in the Middle East and across the world","Russian Federation","Espionage","Military","   ","   ",TRUE,"Super Power","2019-10-21",2019
"Targeting of German energy technology, chemicals, and consumer goods companies, among others",2019-07-24,"Believed to be the work of Winnti.","A threat actor used a Trojan horse to gain remote backdoor access to German energy technology company Siemens, chemical firm BASF, and consumer goods company Henkel. Non-German companies Roche, Lion Air, and Marriott were also targeted.",NA,"Germany","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2019-07-24",2019
"Targeting of nongovernmental organizations and political and law enforcement agencies in East and South Asia",2019-12-29,"Bronze President","The China-affiliated threat actor Bronze President attacked nongovernmental organizations, political agencies, and law enforcement in Mongolia and India, among other countries.",NA,NA,"China","Espionage","Government","   ","   ",TRUE,"Super Power","2019-12-29",2019
"Cyber espionage by the United Arab Emirates (UAE)",2019-01-30,"Believed to be the work of the UAE government.","Former U.S. government intelligence operatives working for the UAE used the spying tool Karma to hack the iPhones of activists, diplomats, and rival foreign leaders.

 ",NA,"Qatar, Turkey, Yemen","United Arab Emirates","Espionage","Government","   ","   ",TRUE,"Middle Power","2019-01-30",2019
"Targeting of U.S. university and think tank with BabyShark malware",2019-02-22,NA,"A threat actor used the malware BabyShark, which uses infrastructure associated with North Korean campaigns. The malware was delivered in November 2018 via spear-phishing emails written to appear as though they were sent from a nuclear security expert who works as a consultant for the U.S. government. The subject of the emails referenced North Korea's nuclear program.",NA,NA,"Korea (Democratic People's Republic of)","Espionage","Private sector","   ","   ",FALSE,"Middle Power","2019-02-22",2019
"Bypassing of two-factor authentication",2019-12-19,"APT 20","A China-aligned attacker bypassed virtual private network (VPN) accounts protected by two-factor authentication to attack governments and managed service providers in a multitude of industries.",NA,"Governments and managed service providers in the U.S., Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, and the United Kingdom","China","Espionage","Government","   ","   ",TRUE,"Super Power","2019-12-19",2019
"Operation Soft Cell",2019-06-25,"APT 10","This threat actor hacked global telecommunications companies for personal data of government officials, activists, and dissidents of interest to Beijing.",NA,"Global telecommunications companies","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2019-06-25",2019
"Poison Carp",2019-09-24,"Also known as Evil Eye","This threat actor has targeted senior members of Tibetan groups by sending malicious links in WhatsApp messages, while posing as nongovernmental organization workers, journalists, or other fake personas.",NA,"Tibetans , Uighurs","China","Espionage","Civil society","   ","   ",TRUE,"Super Power","2019-09-24",2019
"Targeting of Avast",2019-10-21,"Government of China","China-aligned hackers breached Czech-based Avast’s network, aiming to compromise the CCleaner tool, which had previously been compromised in 2017.",NA,"Avast","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2019-10-21",2019
"Targeting of investigative journalists at Bellingcat",2019-07-26,"Believed to be the work of Fancy Bear.","A threat actor conducted a phishing attack on investigative journalists at Bellingcat who have been probing Russian intelligence activities.",NA,NA,"Russian Federation","Espionage","Private sector","   ","   ",FALSE,"Super Power","2019-07-26",2019
"Compromise of Kazakh individuals",2019-11-23,"Golden Falcon","The Russian-speaking threat actor Golden Falcon used a combination of purchased and developed tools to compromise numerous individuals in Kazakhstan and a few in China.",NA,"Numerous Kazakh government officials and private individuals and some Chinese individuals",NA,"Espionage","Government","   ","   ",TRUE,"NA","2019-11-23",2019
"Targeting of U.S. and European think tanks",2019-01-31,"Believed to be the work of Fancy Bear.","Hackers set up fake login pages or sent spoof e-mails to people who work with the think tanks in an attempt to trick them into handing over information, such as passwords.",NA,"Center for Strategic and International Studies, German Council on Foreign Relations, The Aspen Institutes in Europe, The German Marshall Fund","Russian Federation","Espionage","Private sector","   ","   ",FALSE,"Super Power","2019-01-31",2019
"Autumn Aperture—use of malicious websites to target foreign ministries and other entities",2019-08-22,"Believed to be the work of Kimusky, also known as Thallium and Smoke Screen.","A threat actor targeted a number of foreign ministries, a Chinese technology company, Stanford University, think tanks in the United States and the United Kingdom, and other entities that have focused on North Korea's nuclear efforts or the related international sanctions. The threat actor created a network of malicious websites imitating the login portals of targets. This incident is believed to be an extension of the 2018 BabyShark campaign.",NA,"French Ministry for Europe and European Affairs, Ministry of Foreign and European Affairs of the Slovak Republic, Stanford University, Sina, Foreign ministry of the South African government","Korea (Democratic People's Republic of)",NA,"Government","   ","   ",TRUE,"Middle Power","2019-08-22",2019
"Surveillance of individuals in the United Arab Emirates (UAE) and globally",2019-12-22,"Government of the UAE","ToTok, a popular Emirati messaging app, was revealed to be a mass surveillance tool used by the Emirati government.",NA,"Millions of individuals in the UAE and globally","United Arab Emirates","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2019-12-22",2019
"Attack on Iranian computer systems",2019-06-22,"U.S. Cyber Command","U.S. Cyber Command hacked Iranian rocket and missile launch systems in retaliation for the downing of a U.S. drone and attacks on oil tankers in the Strait of Hormuz. Iranian officials said the attack was not successful.","Denouncement   https://www.reuters.com/article/us-mideast-iran-usa-cyber-idUSKCN1TP0B1?utm_campaign=trueAnthem%3A%20Trending%20Content&amp;utm_content=5d10beeeb35fc8000145c351&amp;utm_medium=trueAnthem&amp;utm_source=twitter","Iranian rocket and missile launch systems","United States","Sabotage","Military","Denouncement ","https://www.reuters.com/article/us-mideast-iran-usa-cyber-idUSKCN1TP0B1?utm_campaign=trueAnthem%3A%20Trending%20Content&amp;utm_content=5d10beeeb35fc8000145c351&amp;utm_medium=trueAnthem&amp;utm_source=twitter  ",TRUE,"Super Power","2019-06-22",2019
"Targeting of Czech Foreign Ministry",2019-08-31,"Russian military intelligence agency, known as GRU","A threat actor launched a persistent campaign against the Foreign Ministry of the Czech Republic that lasted several months. This campaign follows previous attacks on the Czech Foreign Ministry in 2018 and 2017.",NA,"Foreign Ministry of the Czech Republic","Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2019-08-31",2019
